id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price_numeric,price_30_days,price_category
38795067,La casa colonial de San Telmo - PRIVATE ROOMS,48075259,Alberto,Monserrat,-34.61372,-58.37048,Private room,"$1,328.00",1,9,2020-01-06,1.27,2,0,1328.0,39840.0,low
38798422,Departamento en Palermo HABITACION PRIVADA,227432535,Constanza,Recoleta,-34.59417,-58.41328,Private room,"$1,328.00",1,6,2019-11-24,0.87,1,364,1328.0,39840.0,low
38798891,Hermoso Ambiente a Estrenar,157756413,Nicolás Alejandro,Chacarita,-34.58795,-58.45305,Entire home/apt,"$1,726.00",1,3,2019-11-17,0.46,1,171,1726.0,51780.0,medium
38799072,BA Recoleta Apartment,296794988,Maria,Recoleta,-34.58635,-58.40159,Entire home/apt,"$1,859.00",2,8,2020-02-24,1.21,1,28,1859.0,55770.0,medium
38799130,"Buenos Aires, para recorrer desde el Sur",296795516,Rosina,La Boca,-34.64023,-58.36839,Private room,$664.00,1,0,,0.0,1,0,664.0,19920.0,low
38799816,"¡Departamento 2 ambientes, cómodo, a ESTRENAR!",94684243,Facundo,Recoleta,-34.58754,-58.40544,Entire home/apt,"$4,315.00",4,13,2020-02-25,1.89,1,178,4315.0,129450.0,high
38800103,Studio neighborhood dwelling style (Villa Crespo),219481871,Daniel,Villa Crespo,-34.59948,-58.4475,Entire home/apt,$929.00,1,3,2020-01-15,0.43,1,89,929.0,27870.0,low
38800660,"Habitación privada, baño suite  Barrio de Belgrano",54927846,Patricia,Belgrano,-34.56454,-58.45008,Private room,"$1,128.00",5,0,,0.0,1,178,1128.0,33840.0,low
38801265,Moderno Monoambiente en Villa Pueyrredon,93268198,Mariano,Villa Pueyrredón,-34.58258,-58.50044,Entire home/apt,"$1,195.00",1,6,2020-02-01,0.99,1,297,1195.0,35850.0,low
38801882,Una muy buena ubicación,724511,Alejandro,Boedo,-34.63801,-58.41275,Private room,"$1,062.00",3,0,,0.0,1,180,1062.0,31860.0,low
